ParticleIndex,x,y,z,Lx,Ly,Lz,Lxy
1,588,410,52,4,2,6,1
2,472,296,56,2,2,6,1
3,414,236,64,1,2,6,1
4,782,372,70,5,1,8,2
5,438,404,72,3,3,5,1
6,322,282,74,1,3,5,1
7,374,348,74,2,3,5,1
8,658,252,74,3,1,8,2
9,724,308,74,4,1,8,2
10,602,200,78,2,1,8,2
11,696,418,78,5,2,7,2
12,750,478,80,6,2,7,2
13,638,366,86,4,2,7,2
14,282,408,88,2,4,4,1
15,346,464,88,3,4,4,1
16,572,314,88,3,2,7,2
17,544,140,90,1,1,8,3
18,398,524,94,4,4,4,1
19,462,198,94,1,2,7,2
20,510,258,94,2,2,7,2
21,254,518,100,3,5,3,1
22,316,576,102,4,5,3,1
23,480,368,104,3,3,6,2
24,194,462,106,2,5,3,1
25,424,312,106,2,3,6,2
26,538,426,108,4,3,6,2
27,600,480,108,5,3,6,2
28,368,632,110,5,5,3,1
29,370,250,110,1,3,6,2
30,450,476,114,4,4,5,2
31,700,222,114,3,1,9,3
32,334,366,116,2,4,5,2
33,646,162,116,2,1,9,3
34,392,422,118,3,4,5,2
35,766,274,118,4,1,9,3
36,160,570,120,3,6,2,1
37,588,106,120,1,1,9,3
38,274,684,122,5,6,2,1
39,280,312,122,1,4,5,2
40,738,382,122,5,2,8,3
41,796,444,122,6,2,8,3
42,344,730,124,6,6,2,1
43,506,542,124,5,4,5,2
44,616,274,124,3,2,8,3
45,74,626,126,3,7,1,1
46,680,326,126,4,2,8,3
47,212,624,128,4,6,2,1
48,558,218,128,2,2,8,3
49,502,162,130,1,2,8,3
50,574,590,130,6,4,5,2
51,132,678,134,4,7,1,1
52,186,734,134,5,7,1,1
53,244,424,136,2,5,4,2
54,300,478,136,3,5,4,2
55,356,536,136,4,5,4,2
56,596,384,136,4,3,7,3
57,768,558,136,7,3,7,3
58,414,592,138,5,5,4,2
59,486,646,138,6,5,4,2
60,532,328,138,3,3,7,3
61,658,438,140,5,3,7,3
62,418,212,142,1,3,7,3
63,472,274,142,2,3,7,3
64,546,696,142,7,5,4,2
65,726,676,144,8,4,5,3
66,158,476,146,2,6,3,2
67,708,502,146,6,3,7,3
68,210,532,152,3,6,3,2
69,268,592,152,4,6,3,2
70,322,648,154,5,6,3,2
71,388,698,154,6,6,3,2
72,496,438,154,4,4,6,3
73,378,328,156,2,4,6,3
74,434,386,156,3,4,6,3
75,624,554,156,6,4,6,3
76,686,604,156,7,4,6,3
77,556,502,158,5,4,6,3
78,322,274,160,1,4,6,3
79,116,586,162,3,7,2,2
80,544,124,162,1,2,9,4
81,606,180,162,2,2,9,4
82,662,238,162,3,2,9,4
83,230,698,164,5,7,2,2
84,722,292,164,4,2,9,4
85,778,348,164,5,2,9,4
86,172,638,168,4,7,2,2
87,284,754,168,6,7,2,2
88,468,552,168,5,5,5,3
89,806,528,168,7,3,7,4
90,236,332,170,1,5,5,3
91,532,610,170,6,5,5,3
92,290,382,172,2,5,5,3
93,346,434,172,3,5,5,3
94,406,492,172,4,5,5,3
95,768,644,172,8,4,6,3
96,594,660,174,7,5,5,3
97,458,178,178,1,3,8,4
98,576,290,178,3,3,8,4
99,638,342,178,4,3,8,4
100,754,458,178,6,3,8,4
101,516,234,180,2,3,8,4
102,698,396,180,5,3,8,4
103,206,440,182,2,6,4,3
104,438,660,182,6,6,4,3
105,256,492,186,3,6,4,3
106,316,544,186,4,6,4,3
107,374,602,186,5,6,4,3
108,502,712,186,7,6,4,3
109,492,342,188,3,4,7,4
110,678,692,188,8,5,5,3
111,730,568,188,7,4,7,4
112,548,402,190,4,4,7,4
113,116,494,192,2,7,3,3
114,428,288,192,2,4,7,4
115,604,452,192,5,4,7,4
116,670,514,192,6,4,7,4
117,370,230,194,1,4,7,4
118,280,654,200,5,7,3,3
119,164,544,202,3,7,3,3
120,342,706,202,6,7,3,3
121,578,572,204,6,5,6,4
122,762,260,204,4,2,10,5
123,220,600,206,4,7,3,3
124,392,400,206,3,5,6,4
125,514,514,206,5,5,6,4
126,706,204,206,3,2,10,5
127,280,294,208,1,5,6,4
128,334,342,208,2,5,6,4
129,638,622,208,7,5,6,4
130,190,710,210,5,8,2,3
131,450,454,210,4,5,6,4
132,76,602,212,3,8,2,3
133,134,652,214,4,8,2,3
134,820,606,214,8,4,7,4
135,602,732,216,8,6,5,4
136,652,140,216,2,2,10,5
137,506,144,218,1,3,9,5
138,564,198,218,2,3,9,5
139,620,254,218,3,3,9,5
140,680,308,218,4,3,9,5
141,364,506,220,4,6,5,4
142,792,420,220,6,3,9,5
143,476,252,222,2,4,8,5
144,484,622,222,6,6,5,4
145,738,362,222,5,3,9,5
146,302,448,224,3,6,5,4
147,536,306,224,3,4,8,5
148,720,654,224,8,5,6,4
149,244,400,226,2,6,5,4
150,258,752,226,6,8,2,3
151,420,562,226,5,6,5,4
152,442,732,226,7,7,4,4
153,550,674,226,7,6,5,4
154,766,532,228,7,4,8,5
155,392,670,230,6,7,4,4
156,594,362,230,4,4,8,5
157,708,474,230,6,4,8,5
158,652,410,232,5,4,8,5
159,160,456,234,2,7,4,4
160,416,196,236,1,4,8,5
161,210,506,238,3,7,4,4
162,328,614,238,5,7,4,4
163,630,528,238,6,5,7,5
164,266,562,240,4,7,4,4
165,686,582,240,7,5,7,5
166,444,364,246,3,5,7,5
167,322,252,248,1,5,7,5
168,382,302,248,2,5,7,5
169,502,414,250,4,5,7,5
170,118,562,252,3,8,3,4
171,234,668,252,5,8,3,4
172,546,110,252,1,3,10,6
173,556,468,252,5,5,7,5
174,176,614,254,4,8,3,4
175,294,716,254,6,8,3,4
176,540,584,254,6,6,6,5
177,666,220,254,3,3,10,6
178,726,274,254,4,3,10,6
179,608,162,258,2,3,10,6
180,236,310,260,1,6,6,5
181,348,412,260,3,6,6,5
182,782,326,260,5,3,10,6
183,410,470,262,4,6,6,5
184,98,666,264,4,9,2,4
185,154,722,264,5,9,2,4
186,286,358,264,2,6,6,5
187,596,638,264,7,6,6,5
188,468,528,266,5,6,6,5
189,524,214,268,2,4,9,6
190,580,272,268,3,4,9,6
191,766,612,270,8,5,7,5
192,260,468,272,3,7,5,5
193,696,378,272,5,4,9,6
194,316,524,274,4,7,5,5
195,490,688,274,7,7,5,5
196,636,328,274,4,4,9,6
197,752,432,274,6,4,9,6
198,808,494,274,7,4,9,6
199,464,160,276,1,4,9,6
200,198,418,278,2,7,5,5
201,376,578,278,5,7,5,5
202,428,272,278,2,5,8,6
203,492,326,280,3,5,8,6
204,678,664,280,8,6,7,5
205,438,630,282,6,7,5,5
206,670,488,282,6,5,8,6
207,374,214,284,1,5,8,6
208,550,382,284,4,5,8,6
209,728,540,284,7,5,8,6
210,606,430,288,5,5,8,6
211,164,524,290,3,8,4,5
212,222,574,290,4,8,4,5
213,284,626,294,5,8,4,5
214,584,544,294,6,6,7,6
215,342,682,296,6,8,4,5
216,284,272,298,1,6,7,6
217,396,380,300,3,6,7,6
218,334,322,302,2,6,7,6
219,520,486,302,5,6,7,6
220,638,598,302,7,6,7,6
221,694,646,302,8,6,7,6
222,76,580,304,3,9,3,5
223,138,630,306,4,9,3,5
224,196,684,306,5,9,3,5
225,624,236,306,3,4,10,7
226,458,434,308,4,6,7,6
227,504,124,310,1,4,10,7
228,568,180,310,2,4,10,7
229,682,292,310,4,4,10,7
230,740,342,310,5,4,10,7
231,242,380,312,2,7,6,6
232,798,396,312,6,4,10,7
233,304,430,314,3,7,6,6
234,364,486,314,4,7,6,6
235,488,598,318,6,7,6,6
236,424,544,322,5,7,6,6
237,552,648,322,7,7,6,6
238,710,448,322,6,5,9,7
239,272,540,324,4,8,5,6
240,420,176,324,1,5,9,7
241,478,234,324,2,5,9,7
242,536,292,324,3,5,9,7
243,652,398,324,5,5,9,7
244,770,504,324,7,5,9,7
245,170,606,326,4,9,4,5
246,214,484,326,3,8,5,6
247,594,346,326,4,5,9,7
248,152,436,328,2,8,5,6
249,328,596,328,5,8,5,6
250,610,692,328,8,7,6,6
251,394,646,330,6,8,5,6
252,456,690,330,7,8,5,6
253,732,618,332,8,6,8,7
254,308,694,336,6,9,4,6
255,442,346,338,3,6,8,7
256,330,238,340,1,6,8,7
257,380,288,340,2,6,8,7
258,564,452,340,5,6,8,7
259,624,504,340,6,6,8,7
260,684,556,340,7,6,8,7
261,122,544,342,3,9,4,6
262,506,402,342,4,6,8,7
263,180,592,344,4,9,4,6
264,726,254,344,4,4,11,8
265,240,646,346,5,9,4,6
266,608,146,346,2,4,11,8
267,664,200,346,3,4,11,8
268,786,308,346,5,4,11,8
269,290,344,350,2,7,7,7
270,346,398,350,3,7,7,7
271,412,450,352,4,7,7,7
272,810,480,352,7,5,10,8
273,598,610,354,7,7,7,7
274,534,558,356,6,7,7,7
275,460,144,358,1,5,10,8
276,476,508,358,5,7,7,7
277,528,200,360,2,5,10,8
278,754,414,360,6,5,10,8
279,652,656,362,8,7,7,7
280,696,362,362,5,5,10,8
281,202,398,364,2,8,6,7
282,260,448,364,3,8,6,7
283,318,508,364,4,8,6,7
284,578,256,364,3,5,10,8
285,636,308,364,4,5,10,8
286,374,560,368,5,8,6,7
287,508,662,372,7,8,6,7
288,374,200,374,1,6,9,8
289,442,612,374,6,8,6,7
290,228,554,376,4,9,5,7
291,492,310,376,3,6,9,8
292,550,364,376,4,6,9,8
293,608,418,376,5,6,9,8
294,340,662,378,6,9,5,7
295,666,468,378,6,6,9,8
296,164,504,380,3,9,5,7
297,430,252,380,2,6,9,8
298,726,520,380,7,6,9,8
299,286,606,384,5,9,5,7
300,286,258,386,1,7,8,8
301,202,668,390,5,10,4,7
302,394,362,390,3,7,8,8
303,456,420,390,4,7,8,8
304,338,308,392,2,7,8,8
305,580,524,392,6,7,8,8
306,642,574,392,7,7,8,8
307,138,612,394,4,10,4,7
308,520,474,394,5,7,8,8
309,698,622,396,8,7,8,8
310,568,164,398,2,5,11,9
311,622,218,398,3,5,11,9
312,676,270,398,4,5,11,9
313,798,378,398,6,5,11,9
314,250,364,400,2,8,7,8
315,740,326,400,5,5,11,9
316,302,416,402,3,8,7,8
317,358,474,404,4,8,7,8
318,424,526,406,5,8,7,8
319,558,622,406,7,8,7,8
320,414,166,408,1,6,10,9
321,484,578,410,6,8,7,8
322,538,274,412,3,6,10,9
323,480,218,414,2,6,10,9
324,616,668,414,8,8,7,8
325,770,486,414,7,6,10,9
326,274,518,416,4,9,6,8
327,594,326,416,4,6,10,9
328,652,380,416,5,6,10,9
329,708,430,418,6,6,10,9
330,212,466,420,3,9,6,8
331,330,222,422,1,7,9,9
332,390,628,422,6,9,6,8
333,330,574,424,5,9,6,8
334,458,680,424,7,9,6,8
335,120,524,426,3,10,5,8
336,184,574,428,4,10,5,8
337,304,672,428,6,10,5,8
338,388,272,428,2,7,9,9
339,444,326,428,3,7,9,9
340,506,380,428,4,7,9,9
341,246,624,430,5,10,5,8
342,566,432,430,5,7,9,9
343,684,536,432,7,7,9,9
344,746,586,432,8,7,9,9
345,624,484,434,6,7,9,9
346,722,234,434,4,5,12,10
347,780,288,436,5,5,12,10
348,294,330,438,2,8,8,9
349,670,174,438,3,5,12,10
350,824,460,440,7,6,11,10
351,456,132,442,1,6,11,10
352,350,380,444,3,8,8,9
353,406,438,446,4,8,8,9
354,596,590,446,7,8,8,9
355,650,640,446,8,8,8,9
356,210,380,448,2,9,7,9
357,470,492,448,5,8,8,9
358,524,182,448,2,6,11,10
359,530,542,450,6,8,8,9
360,578,236,450,3,6,11,10
361,634,286,452,4,6,11,10
362,696,342,452,5,6,11,10
363,758,394,452,6,6,11,10
364,262,432,454,3,9,7,9
365,316,488,454,4,9,7,9
366,372,188,458,1,7,10,10
367,502,644,458,7,9,7,9
368,376,544,462,5,9,7,9
369,434,238,464,2,7,10,10
370,440,598,464,6,9,7,9
371,164,486,466,3,10,6,9
372,492,292,466,3,7,10,10
373,286,242,468,1,8,9,10
374,550,346,468,4,7,10,10
375,230,538,470,4,10,6,9
376,608,396,470,5,7,10,10
377,666,446,470,6,7,10,10
378,726,498,470,7,7,10,10
379,290,588,472,5,10,6,9
380,348,640,472,6,10,6,9
381,340,292,474,2,8,9,10
382,398,344,480,3,8,9,10
383,626,192,482,3,6,12,11
384,460,396,484,4,8,9,10
385,568,146,484,2,6,12,11
386,676,252,484,4,6,12,11
387,742,306,484,5,6,12,11
388,244,348,486,2,9,8,10
389,802,360,486,6,6,12,11
390,518,450,488,5,8,9,10
391,640,550,488,7,8,9,10
392,576,502,490,6,8,9,10
393,614,652,490,8,9,8,10
394,302,398,496,3,9,8,10
395,414,150,498,1,7,11,11
396,360,454,500,4,9,8,10
397,546,608,500,7,9,8,10
398,476,200,502,2,7,11,11
399,712,410,502,6,7,11,11
400,214,452,504,3,10,7,10
401,424,506,504,5,9,8,10
402,534,256,504,3,7,11,11
403,654,358,504,5,7,11,11
404,778,466,504,7,7,11,11
405,452,666,506,7,10,7,10
406,486,560,506,6,9,8,10
407,592,306,506,4,7,11,11
408,274,504,508,4,10,7,10
409,330,206,508,1,8,10,11
410,334,556,512,5,10,7,10
411,390,256,514,2,8,10,11
412,398,610,514,6,10,7,10
413,186,560,516,4,11,6,10
414,736,576,516,8,8,10,11
415,444,310,518,3,8,10,11
416,508,362,520,4,8,10,11
417,688,512,520,7,8,10,11
418,248,608,522,5,11,6,10
419,292,310,524,2,9,9,11
420,622,466,524,6,8,10,11
421,564,414,526,5,8,10,11
422,352,360,530,3,9,9,11
423,700,320,532,5,7,12,12
424,762,374,534,6,7,12,12
425,538,518,536,6,9,9,11
426,204,370,538,2,10,8,11
427,408,418,538,4,9,9,11
428,518,162,538,2,7,12,12
429,598,566,538,7,9,9,11
430,632,272,538,4,7,12,12
431,474,466,540,5,9,9,11
432,580,218,540,3,7,12,12
433,654,610,540,8,9,9,11
434,260,418,544,3,10,8,11
435,176,472,546,3,11,7,11
436,370,170,546,1,8,11,12
437,316,470,548,4,10,8,11
438,504,622,548,7,10,8,11
439,378,522,550,5,10,8,11
440,434,216,554,2,8,11,12
441,442,572,554,6,10,8,11
442,490,272,554,3,8,11,12
443,668,426,554,6,8,11,12
444,228,528,556,4,11,7,11
445,292,576,556,5,11,7,11
446,550,328,556,4,8,11,12
447,608,376,556,5,8,11,12
448,732,478,558,7,8,11,12
449,282,224,562,1,9,10,12
450,342,272,564,2,9,10,12
451,354,624,564,6,11,7,11
452,558,130,568,2,7,13,13
453,398,326,570,3,9,10,12
454,746,286,570,5,7,13,13
455,624,186,572,3,7,13,13
456,680,236,572,4,7,13,13
457,808,344,572,6,7,13,13
458,454,382,574,4,9,10,12
459,578,482,574,6,9,10,12
460,246,334,576,2,10,9,12
461,520,430,576,5,9,10,12
462,638,528,576,7,9,10,12
463,404,138,580,1,8,12,13
464,696,576,580,8,9,10,12
465,304,382,582,3,10,9,12
466,360,438,586,4,10,9,12
467,490,536,586,6,10,9,12
468,550,586,586,7,10,9,12
469,652,340,586,5,8,12,13
470,714,390,586,6,8,12,13
471,216,440,588,3,11,8,12
472,474,180,588,2,8,12,13
473,606,632,588,8,10,9,12
474,422,488,590,5,10,9,12
475,538,234,590,3,8,12,13
476,594,292,590,4,8,12,13
477,276,488,592,4,11,8,12
478,788,448,594,7,8,12,13
479,336,540,598,5,11,8,12
480,326,186,600,1,9,11,13
481,454,644,600,7,11,8,12
482,386,238,602,2,9,11,13
483,400,588,602,6,11,8,12
484,446,290,604,3,9,11,13
485,500,344,606,4,9,11,13
486,560,396,608,5,9,11,13
487,620,446,608,6,9,11,13
488,680,494,610,7,9,11,13
489,292,296,614,2,10,10,13
490,352,344,618,3,10,10,13
491,206,356,620,2,11,9,13
492,406,400,622,4,10,10,13
493,516,142,622,2,8,13,14
494,638,256,622,4,8,13,14
495,530,500,624,6,10,10,13
496,580,200,624,3,8,13,14
497,588,550,624,7,10,10,13
498,698,306,624,5,8,13,14
499,760,356,624,6,8,13,14
500,468,450,626,5,10,10,13
501,262,406,628,3,11,9,13
502,320,454,632,4,11,9,13
503,170,464,636,3,12,8,13
504,360,158,636,1,9,12,14
505,376,508,636,5,11,9,13
506,424,202,640,2,9,12,14
507,440,556,640,6,11,9,13
508,490,254,640,3,9,12,14
509,546,310,640,4,9,12,14
510,496,604,642,7,11,9,13
511,610,360,642,5,9,12,14
512,664,412,642,6,9,12,14
513,234,508,644,4,12,8,13
514,296,558,646,5,12,8,13
515,728,460,646,7,9,12,14
516,282,204,650,1,10,11,14
517,342,256,650,2,10,11,14
518,362,604,650,6,12,8,13
519,398,308,654,3,10,11,14
520,246,320,658,2,11,10,14
521,448,364,658,4,10,11,14
522,512,416,658,5,10,11,14
523,574,464,660,6,10,11,14
524,628,512,660,7,10,11,14
525,684,218,660,4,8,14,15
526,618,162,662,3,8,14,15
527,750,272,662,5,8,14,15
528,808,324,662,6,8,14,15
529,306,368,664,3,11,10,14
530,362,418,670,4,11,10,14
531,542,568,672,7,11,10,14
532,216,428,674,3,12,9,14
533,418,472,674,5,11,10,14
534,464,168,674,2,9,13,15
535,592,272,674,4,9,13,15
536,652,326,674,5,9,13,15
537,712,376,674,6,9,13,15
538,482,518,676,6,11,10,14
539,604,612,676,8,11,10,14
540,770,434,676,7,9,13,15
541,534,216,678,3,9,13,15
542,274,472,684,4,12,9,14
543,380,224,686,2,10,12,15
544,402,570,686,6,12,9,14
545,336,522,688,5,12,9,14
546,442,274,690,3,10,12,15
547,496,328,692,4,10,12,15
548,558,378,692,5,10,12,15
549,618,430,694,6,10,12,15
550,460,616,696,7,12,9,14
551,282,282,698,2,11,11,15
552,672,478,698,7,10,12,15
553,350,328,702,3,11,11,15
554,406,382,706,4,11,11,15
555,460,434,708,5,11,11,15
556,526,482,708,6,11,11,15
557,572,182,708,3,9,14,16
558,586,532,708,7,11,11,15
559,696,292,708,5,9,14,16
560,814,406,708,7,9,14,16
561,634,234,710,4,9,14,16
562,760,344,710,6,9,14,16
563,646,578,712,8,11,11,15
564,254,392,714,3,12,10,15
565,424,186,718,2,10,13,16
566,316,434,720,4,12,10,15
567,506,582,722,7,12,10,15
568,376,486,724,5,12,10,15
569,602,342,724,5,10,13,16
570,440,534,726,6,12,10,15
571,486,236,726,3,10,13,16
572,542,288,726,4,10,13,16
573,664,392,728,6,10,13,16
574,332,244,730,2,11,12,16
575,724,446,732,7,10,13,16
576,394,292,736,3,11,12,16
577,452,344,738,4,11,12,16
578,508,394,740,5,11,12,16
579,572,450,742,6,11,12,16
580,304,350,748,3,12,11,16
581,624,498,748,7,11,12,16
582,366,396,752,4,12,11,16
583,528,200,754,3,10,14,17
584,592,248,754,4,10,14,17
585,420,452,758,5,12,11,16
586,548,548,758,7,12,11,16
587,648,306,758,5,10,14,17
588,708,360,758,6,10,14,17
589,482,500,762,6,12,11,16
590,774,418,762,7,10,14,17
591,268,456,764,4,13,10,16
592,376,208,764,2,11,13,17
593,338,502,768,5,13,10,16
594,440,254,770,3,11,13,17
595,498,304,772,4,11,13,17
596,556,360,776,5,11,13,17
597,618,410,776,6,11,13,17
598,674,460,778,7,11,13,17
599,354,308,780,3,12,12,17
600,412,362,784,4,12,12,17
601,466,412,790,5,12,12,17
602,528,468,790,6,12,12,17
603,588,514,794,7,12,12,17
604,322,416,798,4,13,11,17
605,382,466,800,5,13,11,17
606,444,518,802,6,13,11,17
607,506,562,808,7,13,11,17
